[2025-05-19 19:08:22,091] INFO tg_bot: test
[2025-05-19 19:10:47,424] INFO tg_bot: Bot is running...
[2025-05-19 19:11:05,291] INFO tg_bot: START handler is triggered
[2025-05-19 19:11:05,480] ERROR tg_bot: WELCOME handler is triggered
[2025-05-19 19:11:08,705] INFO tg_bot: HANDLE OPTION in WELCOME handler is triggered
[2025-05-19 19:11:08,881] INFO tg_bot: PROFILE handler is triggered
[2025-05-19 19:12:04,327] INFO tg_bot: Bot is running...
[2025-05-19 20:06:06,081] INFO tg_bot: Bot is running...
[2025-05-19 20:26:04,218] INFO tg_bot: START handler is triggered
[2025-05-19 20:26:04,375] INFO tg_bot: WELCOME handler is triggered
[2025-05-19 20:26:06,021] INFO tg_bot: HANDLE OPTION in WELCOME handler is triggered
[2025-05-19 20:26:06,128] INFO tg_bot: PROFILE handler is triggered
[2025-05-19 20:26:14,357] INFO tg_bot: HANDLE OPTION in PROFILE handler is triggered
[2025-05-19 20:26:14,357] INFO tg_bot: BACK handler is triggered
[2025-05-19 20:26:14,357] INFO tg_bot: WELCOME handler is triggered
[2025-05-19 20:26:20,914] INFO tg_bot: HANDLE OPTION in WELCOME handler is triggered
[2025-05-19 20:26:21,102] INFO tg_bot: PROFILE handler is triggered
[2025-05-19 20:26:26,194] INFO tg_bot: HANDLE OPTION in PROFILE handler is triggered
[2025-05-19 20:26:39,622] INFO tg_bot: HANDLE OPTION in PROFILE handler is triggered
[2025-05-19 20:28:16,680] INFO tg_bot: Bot is running...
[2025-05-19 20:28:32,431] INFO tg_bot: Bot is running...
[2025-05-19 20:28:39,917] INFO tg_bot: START handler is triggered
[2025-05-19 20:28:40,075] INFO tg_bot: WELCOME handler is triggered
[2025-05-19 20:28:41,677] INFO tg_bot: HANDLE OPTION in WELCOME handler is triggered
[2025-05-19 20:28:41,896] INFO tg_bot: PROFILE handler is triggered
[2025-05-19 20:28:42,887] INFO tg_bot: HANDLE OPTION in PROFILE handler is triggered
[2025-05-20 11:09:54,851] INFO tg_bot: Bot is running...
[2025-05-20 13:54:31,965] INFO tg_bot: Bot is running...
[2025-05-20 13:55:43,485] INFO tg_bot: Bot is running...
[2025-05-20 13:57:03,635] INFO tg_bot: Bot is running...
[2025-05-20 14:52:52,747] INFO tg_bot: Bot is running...
[2025-05-20 14:55:50,064] INFO tg_bot: Bot is running...
[2025-05-20 14:58:57,026] INFO tg_bot: Bot is running...
[2025-05-20 15:12:15,994] INFO tg_bot: Bot is running...
[2025-05-20 15:17:16,454] INFO tg_bot: Bot is running...
[2025-05-20 15:23:31,243] INFO tg_bot: Bot is running...
[2025-05-20 15:38:47,185] INFO tg_bot: Bot is running...
[2025-05-20 15:44:09,108] INFO tg_bot: Bot is running...
[2025-05-20 15:45:29,020] INFO tg_bot: Bot is running...
[2025-05-20 16:59:05,495] INFO tg_bot: Bot is running...
[2025-05-20 17:02:24,304] INFO tg_bot: Bot is running...
[2025-05-20 17:05:56,284] INFO tg_bot: Bot is running...
[2025-05-20 17:09:10,133] INFO tg_bot: Bot is running...
[2025-05-20 17:19:36,361] INFO tg_bot: Bot is running...
[2025-05-20 18:03:19,326] INFO tg_bot: Bot is running...
